event,tournament_url,tournament_start_time,round,group,game_url,white_username,black_username,white_uuid,black_uuid,white_rating,black_rating,target,white_result_code,black_result_code,fen,eco,end_time,pgn_result,termination
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390679,mapl3man,gryffindorac8,c560ce16-e444-11e8-805a-000000000000,a3f57b8c-ab45-11ee-9a0e-c9f4b8d5f224,2522,2701,white_loss,checkmated,win,6k1/pp6/8/8/3P2p1/2P1B3/PPQ2PPP/4r1K1 w - - 1 39,https://www.chess.com/openings/Trompowsky-Attack...3.Bf4-d5-4.e3-c5,1770743533,0-1,Gryffindorac8 won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390681,beawuids,sofiia_hryzlova,9069ed48-c71a-11e7-803a-000000000000,db4a641a-b737-11e8-800c-000000000000,2679,2538,white_loss,resigned,win,2b3k1/5ppp/p7/q4pb1/3N4/P2P2Q1/5PPP/BR2r1K1 w - - 7 28,https://www.chess.com/openings/French-Defense-Knight-Variation-Wing-Gambit-4...cxb4-5.a3,1770743423,0-1,Sofiia_Hryzlova won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390683,witty_alien,gabber2011,a0e0c564-621a-11e5-8044-000000000000,65954a10-f9a8-11ed-8c91-81c9caa3633d,2536,2677,white_win,win,resigned,2r2rk1/5p2/p2q1Bp1/1p1p2NQ/2n5/P7/1P3PPP/1B1R2K1 b - - 0 23,https://www.chess.com/openings/Queens-Gambit-Declined-Semi-Tarrasch-Main-Line-Pillsbury-Variation...9.O-O-O-O-10.Re1-Nf6-11.a3,1770743415,1-0,Witty_Alien won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390685,alexei_gubajdullin,mostafasakha,c33f0e82-a0e4-11ea-a1f1-53e357d0ec10,cd8934ec-c98f-11dc-8001-000000000000,2677,2517,white_win,win,timeout,8/7p/5pk1/8/r4P2/5n2/P3NPKP/R7 b - - 4 41,https://www.chess.com/openings/Kings-Indian-Attack-2...Nc6-3.Bg2-e5-4.O-O,1770743584,1-0,Alexei_Gubajdullin won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390687,sargissyansargis,semetey,168ea35e-4393-11e5-8050-000000000000,a5d3e61a-bc42-11df-8004-000000000000,2517,2677,white_loss,resigned,win,1r6/6k1/p5pp/4p3/4N3/P1bP4/2r5/K2R4 w - - 0 41,https://www.chess.com/openings/Nimzowitsch-Defense-2.d4-e6-3.Nf3,1770743462,0-1,Semetey won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390689,futurechamp1907,eleyah,b80e755c-ae15-11ed-bc7d-21a4ae1b2c34,92cd7f66-64b2-11ec-89a4-e57eb169353b,2532,2659,white_win,win,checkmated,2Q2k2/p7/1p1P1K2/2p1p3/3qP3/6P1/PP2P3/8 b - - 8 47,https://www.chess.com/openings/Queens-Gambit-Declined-Catalan-Opening,1770743477,1-0,futurechamp1907 won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390691,liusia,mikhal867,f3099d34-b82e-11e9-8d1c-a708766c9d27,44798cb2-d00b-11e9-b0f9-436a53e3a2c0,2675,2506,white_win,win,resigned,6k1/6b1/7p/8/8/5P2/3pR3/1Q5K b - - 0 59,https://www.chess.com/openings/Modern-Defense-Standard-Two-Knights-Variation-4...a6-5.a4-b6,1770743555,1-0,LIUSIA won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390693,fischerbobbyjames,sn2022s,b02d710c-1c86-11ec-97d5-09ce74f9928d,736147d0-7111-11e9-a2c9-95fc7a164d54,2521,2655,white_win,win,checkmated,3k1Q2/8/2K5/8/8/8/8/8 b - - 22 87,https://www.chess.com/openings/Indian-Game-East-Indian-Przepiorka-Variation...5.O-O-d6-6.Nc3-Nbd7,1770743576,1-0,FischerBobbyJames won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390695,gasparasprelliok,vladgoncharov,4f3f1f6e-c3e8-11ef-b01e-013d293b52c2,8a783616-28ab-11e5-800e-000000000000,2503,2666,white_loss,timeout,win,8/1k5p/2R1p3/1p1p4/p1bP4/P1K1P3/1P5q/5Q2 w - - 4 57,https://www.chess.com/openings/French-Defense-Advance-Paulsen-Attack...6.Na3-cxd4-7.cxd4-Nf5-8.Nc2,1770743575,0-1,vladgoncharov won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390697,il_cavallo_matto,ananya2898,322f4adc-aedc-11ea-b13e-6f7ad1d9bdc6,2d93bf72-82e3-11f0-b65b-15f97c478825,2662,2496,white_win,win,resigned,3r4/1bQ2kpp/p1p1p3/1pp5/P3P2P/1P1P4/2P3PK/8 b - - 1 31,https://www.chess.com/openings/Reti-Opening-Nimzo-Larsen-Variation...3.Bb2-Nc6-4.e3-e6,1770743195,1-0,Il_Cavallo_Matto won by resignation
